날짜,출처,최고온도_C,최저온도_C,평균온도_C,상대습도_Pct,강수량_mm,풍속_ms,일사량_MJ,증발산량ET0_mm,데이터품질_Flag,전처리_Flag,결측처리_Count,이상값처리_Count
2026-04-30,시뮬레이션,36.1,28.8,32.3,89.0,0.0,4.3,13.4,0.35,S,OK,0,0
2026-05-01,시뮬레이션,36.3,28.6,32.6,63.5,0.0,3.6,12.1,0.31,S,OK,0,0
2026-05-02,시뮬레이션,34.0,27.4,31.9,79.0,29.1,0.6,16.5,0.42,S,OK,0,0
2026-05-03,시뮬레이션,35.4,28.6,30.6,95.1,0.0,5.3,15.4,0.38,S,OK,0,0
2026-05-04,시뮬레이션,37.2,30.1,32.8,77.6,0.0,3.9,12.6,0.33,S,OK,0,0
2026-05-05,시뮬레이션,29.3,22.7,26.9,92.3,21.6,4.3,19.6,0.45,S,OK,0,0
2026-05-06,시뮬레이션,31.8,27.2,29.6,81.8,0.0,4.2,22.7,0.55,S,OK,0,0
2026-05-07,시뮬레이션,29.1,23.1,26.0,92.0,17.6,2.8,8.4,0.19,S,OK,0,0
2026-05-08,시뮬레이션,31.0,22.6,27.0,91.3,0.0,0.6,15.9,0.37,S,OK,0,0
2026-05-09,시뮬레이션,32.4,24.8,29.4,61.9,14.6,4.9,20.6,0.5,S,OK,0,0
2026-05-10,시뮬레이션,30.7,23.8,28.0,70.5,0.0,5.1,16.9,0.4,S,OK,0,0
2026-05-11,시뮬레이션,35.9,27.3,32.2,86.3,0.0,6.9,17.1,0.44,S,OK,0,0
2026-05-12,시뮬레이션,28.3,23.1,25.6,81.4,0.0,5.1,20.1,0.45,S,OK,0,0
2026-05-13,시뮬레이션,33.0,27.3,30.8,74.1,24.8,2.8,9.0,0.22,S,OK,0,0
2026-05-14,시뮬레이션,32.4,24.4,27.6,68.9,19.7,3.6,12.8,0.3,S,OK,0,0
2026-05-15,시뮬레이션,28.5,22.2,25.1,79.6,0.0,4.4,10.5,0.23,S,OK,0,0
2026-05-16,시뮬레이션,33.7,25.2,30.1,86.1,0.0,5.1,19.3,0.48,S,OK,0,0
2026-05-17,시뮬레이션,35.4,26.5,30.5,75.3,0.0,3.0,12.7,0.32,S,OK,0,0
2026-05-18,시뮬레이션,36.7,29.0,32.3,79.2,9.8,4.3,22.2,0.57,S,OK,0,0
2026-05-19,시뮬레이션,34.8,26.7,30.6,91.9,12.3,0.9,18.2,0.45,S,OK,0,0
2026-05-20,시뮬레이션,34.3,26.2,29.5,75.9,0.0,0.9,18.3,0.45,S,OK,0,0
2026-05-21,시뮬레이션,31.2,24.2,27.1,94.1,0.0,4.8,8.0,0.18,S,OK,0,0
2026-05-22,시뮬레이션,30.4,21.6,26.4,82.4,0.0,6.6,14.6,0.33,S,OK,0,0
2026-05-23,시뮬레이션,31.5,25.3,27.6,74.4,11.5,3.9,16.8,0.39,S,OK,0,0
2026-05-24,시뮬레이션,28.7,22.3,25.8,84.3,0.0,4.8,23.3,0.52,S,OK,0,0
2026-05-25,시뮬레이션,30.4,23.7,27.6,68.9,20.0,4.5,18.8,0.44,S,OK,0,0
2026-05-26,시뮬레이션,32.8,26.5,29.3,76.1,32.4,5.4,10.6,0.26,S,OK,0,0
2026-05-27,시뮬레이션,36.4,29.3,32.5,81.4,0.0,6.3,13.3,0.34,S,OK,0,0
2026-05-28,시뮬레이션,28.7,21.4,26.4,90.6,4.3,6.9,15.8,0.36,S,OK,0,0
2026-05-29,시뮬레이션,32.2,25.2,29.9,88.6,22.6,5.9,16.2,0.4,S,OK,0,0
