날짜,토양수분_Pct,토양온도_C,전기전도도_dSm,pH
2026-04-30,63.1,26.7,1.67,5.7
2026-05-01,62.1,28.3,1.82,7.3
2026-05-02,78.8,26.6,1.93,7.4
2026-05-03,77.7,26.1,1.72,6.3
2026-05-04,76.2,26.9,1.72,7.4
2026-05-05,88.7,23.5,2.01,7.2
2026-05-06,87.3,24.8,2.18,5.7
2026-05-07,98.7,22.8,2.05,6.9
2026-05-08,95.9,23.5,2.11,6.1
2026-05-09,100.0,25.9,2.48,6.5
2026-05-10,94.8,24.8,2.35,7.0
2026-05-11,93.0,28.3,2.22,6.1
2026-05-12,92.2,20.9,2.44,7.0
2026-05-13,100.0,26.8,2.34,6.4
2026-05-14,100.0,22.7,2.11,5.6
2026-05-15,95.8,21.9,2.49,6.2
2026-05-16,94.1,25.1,2.2,6.6
2026-05-17,91.5,26.5,2.42,5.8
2026-05-18,93.8,28.4,2.21,5.8
2026-05-19,99.2,25.7,2.4,6.7
2026-05-20,96.5,25.7,2.31,6.8
2026-05-21,93.3,23.0,1.94,7.4
2026-05-22,90.5,23.3,2.24,5.8
2026-05-23,96.0,22.8,2.01,7.2
2026-05-24,92.0,22.2,2.2,5.7
2026-05-25,100.0,24.3,2.26,5.7
2026-05-26,100.0,24.7,2.5,5.9
2026-05-27,95.9,26.9,2.24,6.7
2026-05-28,94.8,22.5,1.95,5.7
2026-05-29,100.0,24.8,2.11,5.7
